"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","15.2","3","NA","29.0","3","0.8","3","","","NA","37.6","11","NA","","7","","","NA","80.0","2.9"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","16.2","3","NA","31.6","3","0.5","3","","","NA","97.9","9","NA","","7","","","NA","61.3","11.6"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","16.5","3","NA","33.3","3","1.6","3","","","NA","24.3","3","NA","","7","","","NA","57.1","15.8"
"-112.279","53.917","ANDREW AGDM","3010237","AB","15.8","3","NA","31.2","3","1.9","3","","","NA","61.8","8","NA","","7","","","NA","68.6","7.9"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","17.0","3","NA","33.0","3","4.7","3","","","NA","51.3","9","NA","","11","","","NA","46.0","18.7"
"-110.101","52.124","BODO AGDM","3010730","AB","17.7","3","NA","34.3","3","0.5","3","","","NA","18.6","3","NA","","5","","","NA","37.4","28.7"
"-114.483","53.167","BRETON","3010815","AB","","","NA","","","","","0.0","0","NA","119.8","0","NA","0.0","8","","","NA","",""
"-114.441","53.089","BRETON PLOTS","3010816","AB","16.0","3","NA","30.6","3","3.7","3","","","NA","101.9","4","NA","","7","","","NA","66.1","10.3"
"-113.922","53.931","BUSBY AGCM","3010979","AB","15.8","3","NA","29.9","3","4.8","3","","","NA","90.4","4","NA","","7","","","NA","67.0","4.9"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","17.5","5","NA","33.1","5","1.2","5","","","NA","17.7","5","NA","","7","","","NA","37.2","25.1"
"-112.817","53.050","CAMROSE","3011240","AB","16.3","0","0.5","31.5","0","3.4","0","","","NA","50.2","0","97.0","","9","","","NA","64.9","11.6"
"-110.713","51.937","CONSORT AGDM","3011815","AB","17.9","3","NA","33.5","3","3.5","3","","","NA","8.5","3","NA","","2","","","NA","37.0","32.8"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","17.0","0","NA","33.8","0","-1.4","0","","","NA","17.8","0","NA","","4","","","NA","53.6","23.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","15.9","3","NA","31.8","3","0.6","3","","","NA","56.4","6","NA","","6","","","NA","68.3","10.8"
"-113.950","52.750","DAKOTA WEST","3011953","AB","16.3","0","1.3","32.0","0","0.5","0","0.0","0","0.0","74.7","0","109.0","0.0","8","","","NA","69.6","16.4"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","16.8","3","NA","33.2","3","4.3","3","","","NA","38.8","3","NA","","6","","","NA","52.6","19.1"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","16.6","3","NA","31.7","3","2.8","3","","","NA","67.7","3","NA","","8","","","NA","54.5","14.5"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","17.5","3","NA","33.8","3","0.7","3","","","NA","36.6","3","NA","","8","","","NA","41.8","26.8"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","15.6","0","NA","31.1","0","3.1","0","","","NA","77.9","0","NA","","8","","","NA","79.4","5.5"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","18.4","2","NA","32.2","2","7.1","2","","","NA","59.8","7","NA","","6","","","NA","26.6","39.3"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","15.5","0","NA","30.3","0","2.7","0","0.0","0","NA","81.6","0","NA","","8","","","NA","80.2","4.2"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","16.5","2","NA","28.2","2","4.3","2","","","NA","56.3","2","NA","","8","","","NA","53.5","10.5"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","17.8","0","1.8","31.0","0","6.0","0","0.0","0","0.0","79.6","0","126.0","0.0","7","","","NA","39.0","33.3"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","17.0","3","1.3","29.3","3","5.3","3","","","NA","56.3","3","NA","","8","","","NA","44.6","15.3"
"-111.000","52.967","FABYAN","3012515","AB","16.5","0","0.6","33.0","0","2.0","0","0.0","0","0.0","51.4","0","84.0","0.0","10","","","NA","61.0","15.9"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","15.9","3","NA","32.7","3","0.8","3","","","NA","59.0","3","NA","","8","","","NA","70.9","10.8"
"-111.813","52.041","FLEET AGCM","3012635","AB","16.9","3","NA","33.3","3","0.7","3","","","NA","15.1","6","NA","","5","","","NA","51.6","20.5"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","16.2","3","NA","33.0","3","0.4","3","","","NA","53.3","3","NA","","5","","","NA","61.8","12.5"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","16.9","3","NA","32.6","3","2.7","3","","","NA","57.0","3","NA","","10","","","NA","50.2","20.2"
"-114.320","53.295","ST. FRANCIS","3012799","AB","17.2","3","NA","30.9","3","5.5","3","","","NA","99.8","3","NA","","8","","","NA","44.5","22.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","15.9","3","NA","32.2","3","2.5","3","","","NA","62.6","3","NA","","7","","","NA","68.0","9.8"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","16.4","3","NA","29.2","3","5.4","3","","","NA","","","NA","","","","","NA","56.5","11.2"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","16.5","7","NA","33.3","7","-1.9","7","","","NA","9.7","7","NA","","3","","","NA","51.0","14.5"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","16.6","3","NA","32.6","3","1.5","3","","","NA","17.3","5","NA","","4","","","NA","56.0","15.7"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","17.5","3","NA","33.9","3","2.3","3","","","NA","11.2","3","NA","","4","","","NA","41.8","28.2"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","16.3","3","NA","31.2","3","4.2","3","","","NA","81.5","4","NA","","9","","","NA","61.1","12.3"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","17.4","3","NA","33.1","3","0.3","3","","","NA","30.5","3","NA","","9","","","NA","42.4","25.5"
"-111.872","52.848","KILLAM AGDM","3013640","AB","15.7","3","NA","32.4","3","0.4","3","","","NA","","","NA","","","","","NA","72.7","8.7"
"-111.113","52.290","KESSLER AGCM","3013644","AB","16.9","5","NA","33.4","5","0.3","5","","","NA","19.7","10","NA","","6","","","NA","45.9","16.5"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","16.2","3","NA","31.5","3","1.2","3","","","NA","68.3","3","NA","","9","","","NA","63.9","13.6"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","16.6","3","NA","32.1","3","4.3","3","","","NA","73.1","3","NA","","10","","","NA","57.3","19.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","16.2","3","NA","30.3","3","5.9","3","","","NA","59.2","4","NA","","6","","","NA","62.1","11.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","16.5","3","NA","27.8","3","0.0","3","","","NA","67.5","4","NA","","11","","","NA","54.5","12.4"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","16.9","4","NA","31.7","4","3.9","4","","","NA","49.7","4","NA","","8","","","NA","49.1","18.3"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","17.1","0","1.2","31.0","0","4.0","0","0.0","0","0.0","60.2","0","101.0","0.0","9","","","NA","52.0","25.1"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","16.7","3","NA","32.3","3","3.8","3","","","NA","77.0","4","NA","","9","","","NA","54.6","17.7"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","0.0","0","NA","20.8","0","39.0","0.0","5","","","NA","",""
"-113.350","53.650","OLIVER AGDM","3014921","AB","16.4","3","NA","31.2","3","4.0","3","","","NA","63.0","10","NA","","7","","","NA","55.3","11.3"
"-112.879","53.995","RADWAY AGCM","3015346","AB","16.3","3","NA","30.7","3","3.8","3","","","NA","","","NA","","","","","NA","55.9","9.1"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","17.0","1","NA","31.9","1","4.1","1","","","NA","67.8","1","NA","","9","","","NA","49.9","18.8"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","17.0","3","NA","32.7","3","0.8","3","","","NA","28.4","3","NA","","7","","","NA","46.1","19.4"
