"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","-6.4","13","NA","5.6","13","-19.0","13","","","NA","0.0","13","NA","","0","","","NA","439.0","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-4.4","12","NA","5.9","12","-19.3","12","","","NA","5.5","14","NA","","1","","","NA","424.9","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-2.3","12","NA","9.8","12","-16.7","12","","","NA","12.5","12","NA","","3","","","NA","385.2","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-6.3","14","NA","6.3","14","-17.7","14","","","NA","3.6","14","NA","","1","","","NA","413.7","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-1.9","12","NA","8.3","12","-15.4","12","","","NA","8.7","12","NA","","3","","","NA","377.7","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-2.3","12","NA","8.1","12","-17.1","12","","","NA","9.8","12","NA","","3","","","NA","385.4","0.0"
"-114.483","53.167","BRETON","3010815","AB","","","NA","","","","","4.4","1","NA","4.4","1","NA","0.0","1","","","NA","",""
"-114.441","53.089","BRETON PLOTS","3010816","AB","-0.8","12","NA","13.8","12","-15.3","12","","","NA","3.2","12","NA","","1","","","NA","357.5","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-3.0","13","NA","9.9","13","-15.7","13","","","NA","1.8","13","NA","","0","","","NA","378.1","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-2.1","12","NA","8.2","12","-17.4","12","","","NA","6.7","12","NA","","3","","","NA","381.1","0.0"
"-113.863","53.290","CALMAR","3011120","AB","","","","0.5","30","-16.5","30","0.0","30","NA","0.0","30","NA","","0","","","NA","",""
"-112.817","53.050","CAMROSE","3011240","AB","-4.3","0","5.6","8.1","0","-16.8","0","","","NA","8.4","0","54.0","2.0","2","","","NA","692.7","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-1.9","12","NA","8.7","12","-16.8","12","","","NA","4.6","12","NA","","1","","","NA","378.1","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-4.2","0","NA","7.0","0","-19.3","0","","","NA","8.6","0","NA","1.0","2","","","NA","686.8","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-1.9","12","NA","11.5","12","-15.7","12","","","NA","4.2","12","NA","","4","","","NA","377.3","0.0"
"-113.950","52.750","DAKOTA WEST","3011953","AB","-0.8","2","7.6","12.5","2","-14.0","2","2.0","2","NA","2.0","2","NA","0.0","2","","","NA","546.4","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","-1.3","12","NA","11.5","12","-13.2","12","","","NA","8.8","12","NA","","3","","","NA","367.6","0.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","-5.1","12","NA","5.0","12","-18.8","12","","","NA","0.0","12","NA","","0","","","NA","438.1","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-3.3","12","NA","6.2","12","-17.5","12","","","NA","4.6","12","NA","","1","","","NA","405.5","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-4.0","1","NA","8.8","1","-18.5","1","","","NA","3.9","1","NA","","2","","","NA","658.6","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","-1.9","0","NA","9.7","0","-12.3","0","","","NA","3.8","0","NA","","1","","","NA","618.4","0.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","-4.2","0","NA","8.7","0","-18.7","0","5.2","0","NA","5.2","0","NA","1.0","2","","","NA","688.3","0.0"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","-1.5","12","NA","10.1","12","-12.5","12","","","NA","3.6","12","NA","","1","","","NA","370.4","0.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","-3.3","0","NA","12.8","0","-16.6","0","","","NA","0.0","0","NA","","0","","","NA","661.3","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","-0.9","0","8.0","11.0","0","-17.5","0","0.2","0","1.0","1.0","0","6.0","0.0","0","","","NA","586.4","0.0"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","-3.4","0","6.2","10.4","0","-17.2","0","","","NA","6.2","0","37.0","2.0","2","","","NA","662.7","0.0"
"-111.000","52.967","FABYAN","3012515","AB","-4.9","2","7.2","6.5","1","-17.5","1","1.0","1","NA","1.0","1","NA","0.0","1","","","NA","664.0","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","-3.3","12","NA","10.0","12","-16.5","12","","","NA","7.4","12","NA","","2","","","NA","405.0","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","-3.3","12","NA","8.5","12","-17.0","12","","","NA","7.5","12","NA","","4","","","NA","404.3","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","-2.7","12","NA","8.2","12","-17.9","12","","","NA","10.3","12","NA","","2","","","NA","393.7","0.0"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","-3.2","12","NA","5.8","12","-16.5","12","","","NA","3.7","12","NA","","1","","","NA","402.7","0.0"
"-114.320","53.295","ST. FRANCIS","3012799","AB","0.2","12","NA","13.7","12","-12.9","12","","","NA","1.5","12","NA","","1","","","NA","338.5","0.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","-4.0","12","NA","5.6","12","-17.9","12","","","NA","8.1","14","NA","","2","","","NA","418.9","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","-0.9","12","NA","11.8","12","-14.7","12","","","NA","","","NA","","","","","NA","358.2","0.0"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","-3.4","12","NA","8.8","12","-20.8","12","","","NA","7.5","12","NA","","3","","","NA","406.8","0.0"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","-2.8","12","NA","10.0","12","-15.7","12","","","NA","6.1","14","NA","","2","","","NA","396.1","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","-2.3","12","NA","9.9","12","-18.0","12","","","NA","3.2","12","NA","","1","","","NA","385.2","0.0"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","-4.3","12","NA","4.9","12","-17.1","12","","","NA","8.8","14","NA","","2","","","NA","424.4","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","-2.5","12","NA","6.8","12","-18.3","12","","","NA","6.2","12","NA","","1","","","NA","389.8","0.0"
"-111.872","52.848","KILLAM AGDM","3013640","AB","-4.8","12","NA","6.6","12","-19.5","12","","","NA","","","NA","","","","","NA","433.8","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","-1.9","12","NA","8.5","12","-19.1","12","","","NA","9.0","15","NA","","2","","","NA","377.2","0.0"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","-4.0","13","NA","6.6","13","-18.0","13","","","NA","6.1","13","NA","","1","","","NA","396.5","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","-3.3","12","NA","5.3","12","-15.5","12","","","NA","1.8","12","NA","","1","","","NA","404.6","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","-2.7","12","NA","9.7","12","-14.2","12","","","NA","0.4","12","NA","","0","","","NA","393.2","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","-6.1","12","NA","6.2","12","-20.1","12","","","NA","0.0","12","NA","","0","","","NA","458.0","0.0"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","-4.4","0","NA","5.3","0","-17.0","0","","","NA","3.8","0","NA","","1","","","NA","695.1","0.0"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","-4.4","0","8.0","5.0","0","-16.5","0","0.4","0","3.0","0.4","0","3.0","0.0","0","","","NA","695.5","0.0"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","-3.4","12","NA","5.2","12","-16.7","12","","","NA","4.1","12","NA","","1","","","NA","407.2","0.0"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","7.6","0","50.0","9.4","0","61.0","0.0","3","","","NA","",""
"-112.300","53.567","MUNDARE AGDM","3014665","AB","-2.4","27","NA","6.2","27","-9.0","27","","","NA","0.0","27","NA","","0","","","NA","81.4","0.0"
