"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","-11.5","1","NA","5.6","1","-36.9","1","","","NA","10.4","8","NA","","4","","","NA","797.2","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-11.6","0","NA","5.3","0","-36.8","0","","","NA","4.2","0","NA","","1","","","NA","828.5","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-9.2","1","NA","7.1","1","-33.2","1","","","NA","3.0","1","NA","","1","","","NA","734.4","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-11.9","2","NA","4.8","2","-39.0","2","","","NA","5.1","4","NA","","2","","","NA","777.3","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-10.7","2","NA","5.9","2","-31.8","2","","","NA","3.7","2","NA","","1","","","NA","745.0","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-11.5","1","NA","5.0","1","-32.3","1","","","NA","6.0","1","NA","","2","","","NA","796.0","0.0"
"-114.441","53.089","BRETON PLOTS","3010816","AB","-7.5","1","NA","10.1","1","-34.5","1","","","NA","14.8","1","NA","","6","","","NA","687.6","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-9.5","1","NA","6.0","1","-31.8","1","","","NA","12.0","1","NA","","5","","","NA","743.7","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-10.4","0","NA","6.9","0","-31.5","0","","","NA","4.6","0","NA","","1","","","NA","795.7","0.0"
"-112.817","53.050","CAMROSE","3011240","AB","-10.0","0","-0.4","6.0","0","-36.2","0","","","NA","2.1","0","16.0","40.0","1","","","NA","784.7","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-11.3","0","NA","3.9","0","-32.8","0","","","NA","3.5","1","NA","","0","","","NA","819.4","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-11.5","0","NA","4.1","0","-34.7","0","","","NA","1.2","0","NA","20.0","0","","","NA","825.0","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-8.9","0","NA","8.2","0","-38.2","0","","","NA","10.5","10","NA","","5","","","NA","753.0","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","-8.5","1","NA","7.4","1","-34.5","1","","","NA","7.8","1","NA","","3","","","NA","715.3","0.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","-12.3","0","NA","4.7","0","-37.1","0","","","NA","3.6","0","NA","","2","","","NA","848.4","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-11.4","1","NA","7.1","1","-35.6","1","","","NA","3.8","1","NA","","1","","","NA","792.9","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-8.8","4","NA","6.9","4","-33.9","4","","","NA","4.5","4","NA","19.0","2","","","NA","644.0","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","-8.2","2","NA","7.3","2","-27.9","2","","","NA","0.2","24","NA","","0","","","NA","682.3","0.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","-9.6","0","NA","7.0","0","-34.3","0","11.8","0","NA","12.0","0","NA","22.0","6","","","NA","771.6","0.0"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","-7.2","1","NA","8.2","1","-28.7","1","","","NA","8.7","1","NA","","2","","","NA","681.5","0.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","-8.2","0","NA","7.8","0","-31.3","0","","","NA","4.0","0","NA","","3","","","NA","734.7","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","-5.4","16","2.0","7.5","16","-21.0","16","11.4","16","NA","8.4","16","NA","11.0","3","","","NA","280.4","0.0"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","-9.5","0","-0.3","7.1","0","-34.6","0","","","NA","6.1","0","54.0","41.0","3","","","NA","770.5","0.0"
"-111.000","52.967","FABYAN","3012515","AB","-11.8","0","-0.3","4.0","0","-35.0","0","1.0","0","10.0","1.0","0","10.0","0.0","1","","","NA","833.1","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","-9.9","1","NA","6.4","1","-34.0","1","","","NA","6.3","1","NA","","2","","","NA","752.2","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","-10.9","0","NA","4.5","0","-34.5","0","","","NA","3.4","1","NA","","0","","","NA","808.4","0.0"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","-9.9","9","-2.4","7.5","8","-34.0","9","3.8","7","NA","3.8","7","NA","1.0","3","","","NA","529.9","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","-9.5","0","NA","7.2","0","-33.9","0","","","NA","3.0","0","NA","","1","","","NA","769.4","0.0"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","","","","","","-32.0","6","9.6","6","NA","9.6","6","NA","0.0","3","","","NA","",""
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","-11.1","1","NA","5.2","1","-32.1","1","","","NA","2.8","1","NA","","1","","","NA","786.7","0.0"
"-114.320","53.295","ST. FRANCIS","3012799","AB","-7.0","1","NA","8.2","1","-31.5","1","","","NA","11.3","1","NA","","4","","","NA","674.8","0.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","-10.8","0","NA","6.2","0","-33.4","0","","","NA","4.7","6","NA","","1","","","NA","807.2","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","-7.2","1","NA","8.4","1","-30.3","1","","","NA","","","NA","","","","","NA","680.6","0.0"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","-11.4","0","NA","6.8","0","-35.1","0","","","NA","4.4","1","NA","","1","","","NA","823.4","0.0"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","-9.9","0","NA","5.4","0","-33.9","0","","","NA","2.6","0","NA","","0","","","NA","781.9","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","-11.2","0","NA","5.0","0","-32.8","0","","","NA","3.3","0","NA","","1","","","NA","816.8","0.0"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","-11.1","0","NA","5.7","0","-33.9","0","","","NA","4.8","2","NA","","2","","","NA","815.4","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","-11.0","0","NA","6.5","0","-33.0","0","","","NA","3.8","0","NA","","2","","","NA","810.6","0.0"
"-111.872","52.848","KILLAM AGDM","3013640","AB","-11.0","1","NA","5.9","1","-34.6","1","","","NA","","","NA","","","","","NA","783.8","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","-10.3","1","NA","6.2","1","-33.9","1","","","NA","","","NA","","","","","NA","763.1","0.0"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","-11.0","0","NA","6.0","0","-35.1","0","","","NA","6.7","0","NA","","2","","","NA","811.5","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","-11.9","0","NA","3.6","0","-34.2","0","","","NA","3.2","0","NA","","2","","","NA","836.4","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","-9.7","1","NA","6.7","1","-32.3","1","","","NA","8.3","1","NA","","4","","","NA","748.0","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","-12.8","0","NA","4.5","0","-37.5","0","","","NA","10.1","0","NA","","2","","","NA","861.9","0.0"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","-12.1","0","NA","3.4","0","-32.6","0","","","NA","0.2","0","NA","","0","","","NA","841.4","0.0"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","-11.7","0","0.0","3.5","0","-32.5","0","4.2","0","43.0","4.0","0","41.0","12.0","2","","","NA","831.9","0.0"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","-11.5","1","NA","5.5","1","-32.2","1","","","NA","3.6","1","NA","","2","","","NA","795.6","0.0"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","7.2","0","83.0","7.2","0","82.0","0.0","4","","","NA","",""
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","-9.4","1","NA","6.5","1","-32.0","1","","","NA","7.5","1","NA","","2","","","NA","739.8","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","-9.1","0","NA","7.5","0","-33.4","0","","","NA","","","NA","","","","","NA","759.5","0.0"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","-10.7","0","NA","6.2","0","-33.1","0","","","NA","3.8","0","NA","22.0","2","","","NA","804.7","0.0"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","-11.3","1","NA","6.7","1","-33.8","1","","","NA","3.4","1","NA","","1","","","NA","790.3","0.0"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","-12.2","1","NA","5.3","1","-32.5","1","","","NA","4.2","1","NA","","2","","","NA","815.8","0.0"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","-8.9","0","NA","10.6","0","-39.5","0","","","NA","16.5","0","NA","32.0","5","","","NA","753.6","0.0"
"-112.422","52.792","ROSALIND AGCM","3015600","AB","-9.9","1","NA","6.6","1","-34.0","1","","","NA","3.3","1","NA","","1","","","NA","752.8","0.0"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","-11.2","0","NA","4.8","0","-36.4","0","","","NA","12.2","5","NA","","3","","","NA","818.3","0.0"
"-111.272","54.011","ST. PAUL AGCM","3015676","AB","-13.0","1","NA","3.5","1","-36.4","1","","","NA","3.9","15","NA","","1","","","NA","835.9","0.0"
"-110.755","51.590","SEDALIA AGCM","3015797","AB","-11.2","0","NA","3.2","0","-30.3","0","","","NA","4.6","0","NA","","1","","","NA","818.5","0.0"
"-112.539","53.333","SHONTS AGCM","3015900","AB","-10.7","1","NA","7.2","1","-35.8","1","","","NA","4.4","1","NA","","2","","","NA","776.2","0.0"
"-112.499","54.278","SMOKY LAKE AGDM","3016022","AB","-10.3","0","NA","5.6","0","-33.9","0","","","NA","10.2","0","NA","","4","","","NA","792.2","0.0"
"-111.683","51.816","SPONDIN AGCM","3016070","AB","-10.7","1","NA","4.9","1","-32.9","1","","","NA","2.2","26","NA","","1","","","NA","774.1","0.0"
"-112.596","52.347","STETTLER AGDM","3016124","AB","-9.5","1","NA","5.6","1","-32.5","1","","","NA","4.5","10","NA","","1","","","NA","741.9","0.0"
"-113.895","53.217","THORSBY AGCM","3016441","AB","-8.2","0","NA","8.1","0","-32.7","0","","","NA","9.7","0","NA","","4","","","NA","733.6","0.0"
"-114.718","53.439","TOMAHAWK AGDM","3016505","AB","-7.4","0","NA","8.6","0","-32.3","0","","","NA","15.5","1","NA","","4","","","NA","712.5","0.0"
"-110.081","53.664","TULLIBY LAKE AGCM","3016593","AB","-12.9","1","NA","4.8","1","-37.3","1","","","NA","6.2","3","NA","","3","","","NA","833.6","0.0"
"-113.033","53.500","UNCAS","3016650","AB","","","NA","","","","","15.6","0","NA","15.6","0","NA","35.0","4","","","NA","",""
"-111.678","53.625","TWO HILLS AGDM","3016655","AB","-11.2","0","NA","3.7","0","-33.2","0","","","NA","5.2","1","NA","","2","","","NA","816.2","0.0"
"-110.882","53.344","VERMILION AGDM","3016802","AB","-12.1","1","NA","4.3","1","-34.4","1","","","NA","4.1","3","NA","","1","","","NA","812.8","0.0"
"-111.732","53.182","VIKING AGCM","3016841","AB","-10.9","0","NA","5.2","0","-33.5","0","","","NA","3.5","0","NA","","1","","","NA","809.5","0.0"
"-111.921","54.130","VILNA AGCM","3016852","AB","-11.4","1","NA","4.7","1","-34.1","1","","","NA","9.1","9","NA","","3","","","NA","795.0","0.0"
"-112.098","53.505","VEGREVILLE","3016GF0","AB","-11.3","0","-0.5","5.9","0","-34.3","0","","","NA","6.2","0","56.0","23.0","3","","","NA","821.2","0.0"
"-113.444","52.980","WETASKIWIN AGCM","3017282","AB","-9.4","2","NA","6.7","2","-34.5","2","","","NA","6.7","4","NA","","1","","","NA","712.7","0.0"
"-111.224","51.491","YOUNGSTOWN AGCM","3017705","AB","-10.7","0","NA","4.2","0","-31.2","0","","","NA","2.2","0","NA","","0","","","NA","802.3","0.0"
"-114.108","53.547","EDMONTON STONY PLAIN CS","301A001","AB","-7.4","0","NA","7.3","0","-31.3","0","","","NA","9.4","0","NA","14.0","4","","","NA","710.3","0.0"
"-110.206","51.670","ESTHER 1","301B460","AB","-10.8","0","NA","4.1","0","-31.5","0","","","NA","3.1","0","NA","23.0","1","","","NA","806.4","0.0"
