"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","-10.4","0","NA","6.4","0","-27.9","0","","","NA","2.6","21","NA","","1","","","NA","880.1","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-10.3","1","NA","5.1","1","-26.6","1","","","NA","6.3","1","NA","","2","","","NA","850.1","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-8.0","1","NA","5.5","1","-24.8","1","","","NA","3.2","1","NA","","1","","","NA","778.9","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-10.4","2","NA","5.2","2","-26.6","2","","","NA","6.6","2","NA","","3","","","NA","823.9","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-8.7","2","NA","4.6","2","-25.7","2","","","NA","3.7","2","NA","","1","","","NA","773.4","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-10.1","0","NA","4.7","0","-26.0","0","","","NA","3.4","0","NA","","1","","","NA","872.2","0.0"
"-114.441","53.089","BRETON PLOTS","3010816","AB","-6.0","0","NA","10.4","0","-24.8","0","","","NA","9.2","0","NA","","3","","","NA","744.7","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-8.3","2","NA","6.8","2","-24.6","2","","","NA","4.7","2","NA","","1","","","NA","762.0","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-9.4","0","NA","5.6","0","-25.7","0","","","NA","4.1","0","NA","","1","","","NA","848.8","0.0"
"-112.817","53.050","CAMROSE","3011240","AB","-9.0","0","2.6","6.0","0","-24.1","0","","","NA","1.9","0","8.0","36.0","0","","","NA","835.9","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-9.8","1","NA","3.9","1","-26.2","1","","","NA","5.4","1","NA","","1","","","NA","833.9","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-9.8","0","NA","3.8","0","-25.6","0","","","NA","3.1","0","NA","16.0","1","","","NA","862.0","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-7.2","1","NA","8.0","1","-21.4","1","","","NA","6.3","10","NA","","3","","","NA","755.6","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","-6.8","1","NA","6.8","1","-21.2","1","","","NA","4.4","1","NA","","2","","","NA","744.3","0.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","-10.9","0","NA","5.4","0","-25.7","0","","","NA","12.1","0","NA","","4","","","NA","895.4","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-10.3","0","NA","5.9","0","-25.2","0","","","NA","5.4","0","NA","","1","","","NA","878.7","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-8.8","2","NA","7.7","2","-24.4","2","","","NA","0.9","2","NA","15.0","0","","","NA","777.2","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","-6.9","0","NA","8.1","0","-20.6","0","","","NA","","","NA","","","","","NA","772.2","0.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","-9.0","0","NA","7.5","0","-24.5","0","3.6","0","NA","3.6","0","NA","25.0","2","","","NA","837.5","0.0"
