"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","16.3","9","NA","28.4","9","4.3","9","","","NA","84.0","20","NA","","6","","","NA","47.0","8.6"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","16.7","15","NA","28.3","15","4.0","15","","","NA","18.6","18","NA","","3","","","NA","29.3","8.5"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","17.7","8","NA","32.3","8","5.4","8","","","NA","42.6","8","NA","","8","","","NA","27.0","20.8"
"-112.279","53.917","ANDREW AGDM","3010237","AB","16.8","8","NA","28.4","8","6.1","8","","","NA","77.2","8","NA","","8","","","NA","37.8","10.5"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","17.8","8","NA","30.4","8","8.2","8","","","NA","98.6","8","NA","","5","","","NA","23.2","18.2"
"-110.101","52.124","BODO AGDM","3010730","AB","18.1","8","NA","34.6","8","5.1","8","","","NA","50.4","8","NA","","7","","","NA","23.6","25.9"
"-114.483","53.167","BRETON","3010815","AB","","","NA","","","","","0.0","2","NA","57.4","2","NA","0.0","11","","","NA","",""
"-114.441","53.089","BRETON PLOTS","3010816","AB","17.1","8","NA","28.9","8","7.1","8","","","NA","38.0","8","NA","","7","","","NA","31.9","10.6"
"-113.922","53.931","BUSBY AGCM","3010979","AB","17.1","8","NA","29.8","8","6.8","8","","","NA","98.6","8","NA","","6","","","NA","32.5","10.7"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","18.3","8","NA","35.4","8","6.4","8","","","NA","44.2","8","NA","","7","","","NA","21.6","27.5"
"-113.863","53.290","CALMAR","3011120","AB","","","","26.0","30","12.5","30","0.0","30","NA","0.6","30","NA","","0","","","NA","",""
"-112.817","53.050","CAMROSE","3011240","AB","16.5","2","-0.3","28.1","2","7.0","2","","","NA","113.0","2","NA","","11","","","NA","56.2","12.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","18.3","8","NA","34.5","8","6.0","8","","","NA","31.4","8","NA","","5","","","NA","22.1","29.4"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","17.6","2","NA","34.7","2","5.0","2","","","NA","37.5","2","NA","","8","","","NA","44.6","32.4"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","16.4","8","NA","28.3","8","5.0","8","","","NA","23.0","8","NA","","6","","","NA","43.3","5.8"
"-113.950","52.750","DAKOTA WEST","3011953","AB","16.6","0","0.6","29.0","0","5.0","0","0.0","0","NA","40.8","0","36.0","0.0","11","","","NA","53.6","10.6"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","17.5","8","NA","31.2","8","7.6","8","","","NA","28.1","8","NA","","7","","","NA","30.2","18.5"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","17.3","8","NA","29.5","8","6.4","8","","","NA","24.1","8","NA","","3","","","NA","33.8","18.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","18.1","8","NA","33.2","8","6.0","8","","","NA","23.9","8","NA","","3","","","NA","23.8","27.1"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","16.0","0","NA","29.3","0","3.9","0","","","NA","126.2","0","NA","","7","","","NA","71.5","10.1"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","18.6","0","NA","30.5","0","8.8","0","","","NA","92.5","1","NA","","13","","","NA","28.4","48.5"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","16.1","0","NA","29.2","0","3.7","0","0.0","0","NA","128.8","0","NA","","8","","","NA","70.6","10.2"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","18.8","16","NA","29.4","16","10.7","16","","","NA","34.0","16","NA","","4","","","NA","1.6","13.2"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","16.8","0","NA","29.4","0","5.4","0","","","NA","126.6","0","NA","","10","","","NA","53.2","17.4"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","18.0","0","0.9","30.5","0","7.0","0","0.0","0","NA","134.1","0","131.0","0.0","14","","","NA","37.2","35.9"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","16.9","0","-0.1","28.2","0","7.5","0","","","NA","110.0","0","98.0","","12","","","NA","52.4","17.7"
"-111.000","52.967","FABYAN","3012515","AB","17.1","0","0.1","31.0","0","6.0","0","0.0","0","NA","68.8","0","95.0","0.0","10","","","NA","52.8","24.2"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","16.4","8","NA","27.5","8","4.1","8","","","NA","63.9","8","NA","","7","","","NA","44.9","7.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","18.0","11","NA","33.0","11","6.1","11","","","NA","41.1","11","NA","","5","","","NA","19.8","20.1"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","18.2","8","-0.1","30.5","8","8.0","8","0.0","8","NA","60.6","8","NA","0.0","11","","","NA","24.6","30.3"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","17.2","8","NA","29.4","8","5.7","8","","","NA","57.2","8","NA","","6","","","NA","29.7","12.4"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","17.6","8","NA","31.7","8","5.1","8","","","NA","49.3","8","NA","","5","","","NA","30.2","20.6"
"-114.320","53.295","ST. FRANCIS","3012799","AB","18.1","8","NA","29.6","8","10.3","8","","","NA","55.2","8","NA","","9","","","NA","17.2","19.8"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","16.9","8","NA","28.2","8","4.4","8","","","NA","61.2","9","NA","","5","","","NA","35.2","10.9"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","17.6","8","NA","30.7","8","8.4","8","","","NA","","","NA","","","","","NA","23.3","13.4"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","17.5","8","NA","34.5","8","1.6","8","","","NA","39.4","8","NA","","6","","","NA","31.3","20.1"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","17.2","8","NA","31.6","8","5.4","8","","","NA","75.1","9","NA","","9","","","NA","31.9","14.4"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","18.7","14","NA","35.5","14","5.2","14","","","NA","10.2","14","NA","","2","","","NA","17.2","29.3"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","17.7","11","NA","28.2","11","7.5","11","","","NA","102.3","18","NA","","4","","","NA","19.9","14.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","18.0","8","NA","32.5","8","4.5","8","","","NA","60.9","8","NA","","5","","","NA","23.7","24.8"
"-111.872","52.848","KILLAM AGDM","3013640","AB","16.8","8","NA","28.7","8","4.9","8","","","NA","","","NA","","","","","NA","38.3","10.8"
"-111.113","52.290","KESSLER AGCM","3013644","AB","17.7","8","NA","34.5","8","3.2","8","","","NA","51.3","9","NA","","6","","","NA","27.9","22.0"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","16.8","8","NA","29.5","8","3.6","8","","","NA","76.5","8","NA","","6","","","NA","42.1","15.1"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","17.3","8","NA","29.5","8","6.5","8","","","NA","23.6","8","NA","","3","","","NA","34.5","17.4"
"-113.474","54.003","LEGAL AGCM","3013790","AB","17.4","8","NA","33.7","8","8.7","8","","","NA","107.9","8","NA","","7","","","NA","29.9","15.4"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","18.9","8","NA","27.2","8","10.4","8","","","NA","39.5","8","NA","","6","","","NA","7.0","28.4"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","16.9","0","NA","29.4","0","5.7","0","","","NA","38.2","0","NA","","5","","","NA","58.2","22.9"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","17.1","3","0.1","29.0","3","6.0","3","0.0","3","NA","34.8","3","NA","0.0","7","","","NA","47.5","21.0"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","17.2","8","NA","29.6","8","7.4","8","","","NA","24.8","8","NA","","5","","","NA","34.3","16.5"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","0.0","0","NA","57.4","0","88.0","0.0","8","","","NA","",""
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","17.9","10","NA","28.9","10","8.8","10","","","NA","125.1","10","NA","","5","","","NA","16.3","13.8"
"-113.350","53.650","OLIVER AGDM","3014921","AB","17.4","15","NA","28.9","15","7.7","15","","","NA","40.9","15","NA","","3","","","NA","11.8","2.7"
"-112.879","53.995","RADWAY AGCM","3015346","AB","17.3","14","NA","27.9","14","8.3","14","","","NA","","","NA","","","","","NA","23.5","11.1"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","17.3","0","NA","29.4","0","7.1","0","","","NA","73.4","0","NA","","9","","","NA","48.5","25.3"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","17.7","8","NA","34.9","8","5.0","8","","","NA","38.7","8","NA","","5","","","NA","30.0","24.0"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","17.3","8","NA","32.6","8","6.2","8","","","NA","14.1","9","NA","","2","","","NA","35.6","19.6"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","15.3","0","NA","29.8","0","1.6","0","","","NA","90.5","0","NA","","12","","","NA","88.1","5.4"
"-112.422","52.792","ROSALIND AGCM","3015600","AB","17.3","8","NA","28.9","8","5.7","8","","","NA","50.0","8","NA","","7","","","NA","28.6","11.9"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","16.8","8","NA","27.8","8","6.1","8","","","NA","41.7","13","NA","","6","","","NA","36.2","9.4"
"-111.272","54.011","ST. PAUL AGCM","3015676","AB","17.0","8","NA","28.1","8","6.2","8","","","NA","50.2","8","NA","","8","","","NA","34.9","12.3"
"-110.755","51.590","SEDALIA AGCM","3015797","AB","19.5","15","NA","36.3","15","5.4","15","","","NA","16.8","16","NA","","3","","","NA","9.5","33.9"
"-112.539","53.333","SHONTS AGCM","3015900","AB","17.1","11","NA","27.8","11","5.7","11","","","NA","175.8","11","NA","","5","","","NA","27.6","9.1"
"-112.499","54.278","SMOKY LAKE AGDM","3016022","AB","17.0","8","NA","28.7","8","6.8","8","","","NA","84.9","8","NA","","9","","","NA","35.8","13.0"
"-111.683","51.816","SPONDIN AGCM","3016070","AB","18.3","11","NA","35.2","11","4.8","11","","","NA","35.4","11","NA","","5","","","NA","16.9","23.6"
"-112.596","52.347","STETTLER AGDM","3016124","AB","17.5","8","NA","30.4","8","7.2","8","","","NA","40.4","15","NA","","7","","","NA","27.6","15.5"
"-113.895","53.217","THORSBY AGCM","3016441","AB","17.3","8","NA","29.4","8","6.2","8","","","NA","74.9","8","NA","","10","","","NA","28.2","12.4"
"-114.718","53.439","TOMAHAWK AGDM","3016505","AB","17.5","8","NA","29.3","8","8.1","8","","","NA","87.5","9","NA","","9","","","NA","24.5","12.1"
"-110.081","53.664","TULLIBY LAKE AGCM","3016593","AB","17.3","8","NA","29.5","8","4.6","8","","","NA","22.3","8","NA","","4","","","NA","32.6","17.0"
"-113.033","53.500","UNCAS","3016650","AB","","","NA","","","","","0.0","0","NA","134.4","0","NA","0.0","12","","","NA","",""
"-111.678","53.625","TWO HILLS AGDM","3016655","AB","17.7","8","NA","29.3","8","8.0","8","","","NA","53.5","8","NA","","8","","","NA","25.9","20.0"
"-110.882","53.344","VERMILION AGDM","3016802","AB","17.1","8","NA","30.6","8","4.2","8","","","NA","42.4","8","NA","","5","","","NA","36.7","16.9"
"-111.732","53.182","VIKING AGCM","3016841","AB","17.6","8","NA","28.8","8","7.3","8","","","NA","52.7","8","NA","","7","","","NA","27.4","19.0"
"-111.921","54.130","VILNA AGCM","3016852","AB","16.8","8","NA","28.4","8","4.9","8","","","NA","65.0","8","NA","","9","","","NA","38.3","11.3"
"-112.098","53.505","VEGREVILLE","3016GF0","AB","16.7","0","0.1","29.6","0","5.7","0","","","NA","101.2","0","133.0","","9","","","NA","55.9","16.8"
"-113.444","52.980","WETASKIWIN AGCM","3017282","AB","16.7","8","NA","28.6","8","5.5","8","","","NA","51.6","16","NA","","7","","","NA","39.3","10.1"
"-111.224","51.491","YOUNGSTOWN AGCM","3017705","AB","18.8","8","NA","36.1","8","6.0","8","","","NA","43.7","8","NA","","8","","","NA","16.7","34.4"
"-114.108","53.547","EDMONTON STONY PLAIN CS","301A001","AB","17.2","2","NA","29.4","2","6.5","2","","","NA","130.5","2","NA","","13","","","NA","45.3","23.0"
"-110.206","51.670","ESTHER 1","301B460","AB","18.1","0","NA","35.9","0","3.3","0","","","NA","43.5","0","NA","","3","","","NA","35.3","38.5"
"-111.096","52.829","WAINWRIGHT CFB AIRFIELD 21","301S001","AB","17.9","2","NA","32.1","2","6.6","2","","","NA","61.4","9","NA","","10","","","NA","36.0","31.7"
"-113.821","54.308","PIBROCH AGCM","301X001","AB","16.5","8","NA","28.3","8","6.6","8","","","NA","119.6","8","NA","","6","","","NA","41.6","6.9"
"-113.099","53.843","REDWATER INDUSTRIAL AGCM","301X002","AB","18.8","15","NA","30.1","15","11.1","15","","","NA","46.5","16","NA","","3","","","NA","2.8","16.3"
"-110.025","53.358","LLOYDMINSTER LITE","301X003","AB","16.7","8","NA","28.7","8","4.3","8","","","NA","15.2","8","NA","","4","","","NA","41.9","11.6"
"-110.317","51.066","ACADIA VALLEY","3020035","AB","20.0","10","NA","37.2","10","7.1","10","","","NA","32.2","10","NA","","5","","","NA","8.1","50.4"
"-111.006","50.810","ATLEE AGCM","3020405","AB","20.6","8","NA","37.4","8","8.9","8","","","NA","13.7","8","NA","","3","","","NA","3.9","64.6"
"-113.357","51.379","BEISEKER AGCM","3020610","AB","17.6","8","NA","35.3","8","0.7","8","","","NA","20.3","8","NA","","7","","","NA","29.2","19.7"
"-112.803","51.998","BIG VALLEY AGCM","3020679","AB","18.2","8","NA","33.3","8","7.0","8","","","NA","36.9","8","NA","","8","","","NA","26.0","29.5"
"-110.686","50.798","BUFFALO AGCM","3020950","AB","20.5","14","NA","38.3","14","8.2","14","","","NA","6.8","15","NA","","2","","","NA","2.8","46.0"
"-111.221","51.024","CABIN LAKE AGCM","3021000","AB","19.9","8","NA","37.5","8","5.4","8","","","NA","","","NA","","","","","NA","8.7","51.6"
"-110.797","51.067","CAPPON","3021200","AB","19.2","8","NA","36.5","8","4.3","8","","","NA","72.3","8","NA","","6","","","NA","13.7","40.2"
"-110.824","51.276","CEREAL AGCM","3021463","AB","19.4","14","NA","35.9","14","7.8","14","","","NA","50.0","14","NA","","5","","","NA","10.6","33.8"
"-112.252","51.775","CRAIGMYLE AGCM","3021912","AB","17.8","10","NA","34.9","10","5.1","10","","","NA","49.9","11","NA","","5","","","NA","24.7","21.2"
"-112.677","51.445","DRUMHELLER EAST","30221LG","AB","20.3","1","NA","36.9","1","7.3","1","","","NA","47.8","1","NA","","10","","","NA","14.3","82.5"
"-112.097","51.053","FINNEGAN AGCM","3022650","AB","19.6","8","NA","37.0","8","5.3","8","","","NA","14.7","16","NA","","3","","","NA","10.7","47.1"
"-112.135","51.453","HAND HILLS AGCM","3022990","AB","18.1","10","NA","33.6","10","6.4","10","","","NA","42.5","10","NA","","6","","","NA","25.2","26.4"
"-114.486","52.310","HESPERO AGCM","3023200","AB","16.2","8","NA","30.8","8","3.3","8","","","NA","52.9","8","NA","","8","","","NA","47.2","5.3"
"-112.500","51.183","HUSSAR AGDM","3023402","AB","18.5","8","NA","32.9","8","7.2","8","","","NA","31.4","9","NA","","5","","","NA","18.0","30.1"
"-110.359","51.913","KIRRIEMUIR AGCM","3023660","AB","18.2","8","NA","35.0","8","3.8","8","","","NA","39.3","8","NA","","5","","","NA","23.0","26.8"
"-113.756","52.449","LACOMBE CDA 2","3023722","AB","16.5","1","NA","29.2","1","5.8","1","","","NA","53.2","1","NA","","11","","","NA","56.7","12.8"
"-114.473","52.553","LEEDALE AGDM","3023740","AB","15.6","8","NA","28.7","8","3.0","8","","","NA","40.7","11","NA","","5","","","NA","58.7","3.1"
"-113.656","51.619","LINDEN AGCM","3023850","AB","16.4","15","NA","30.4","15","2.3","15","","","NA","51.5","15","NA","","7","","","NA","29.7","3.7"
"-110.341","49.458","LODGE CREEK","3023900","AB","19.0","8","NA","37.0","8","3.6","8","","","NA","7.4","8","NA","","3","","","NA","16.1","39.1"
"-112.675","51.660","MORRIN AGDM","3024668","AB","18.2","8","NA","35.6","8","5.1","8","","","NA","37.0","8","NA","","6","","","NA","23.3","27.2"
"-114.085","51.759","OLDS AGDM","3024925","AB","16.4","8","NA","28.7","8","5.5","8","","","NA","68.3","8","NA","","7","","","NA","42.8","6.7"
"-110.350","51.383","OYEN AGDM","3024965","AB","18.7","8","NA","36.4","8","4.1","8","","","NA","21.0","9","NA","","2","","","NA","16.6","33.6"
"-111.621","50.740","PATRICIA AGCM","3025013","AB","20.7","10","NA","38.3","10","7.0","10","","","NA","14.1","10","NA","","2","","","NA","4.2","61.4"
"-111.705","51.125","POLLOCKVILLE AGDM","3025243","AB","19.5","8","NA","36.9","8","4.0","8","","","NA","24.3","8","NA","","4","","","NA","12.5","46.2"
"-113.600","52.433","PRENTISS","3025297","AB","16.3","3","NA","28.4","3","7.0","3","","","NA","43.6","3","NA","","10","","","NA","56.5","9.7"
"-113.894","52.182","RED DEER REGIONAL A","3025484","AB","16.3","0","NA","28.8","0","5.6","0","","","NA","25.6","0","NA","","9","","","NA","61.9","10.2"
"-113.620","53.692","ST. ALBERT RESEARCH STATION","3025750","AB","16.6","0","NA","29.4","0","4.2","0","","","NA","101.4","0","NA","","10","","","NA","56.1","12.1"
"-110.091","50.307","SCHULER AGDM","3025768","AB","20.0","8","NA","37.9","8","6.7","8","","","NA","17.8","8","NA","","1","","","NA","4.7","50.0"
"-111.646","51.463","SHEERNESS AGCM","3025890","AB","18.5","16","NA","32.4","16","9.3","16","","","NA","24.2","18","NA","","5","","","NA","7.9","14.9"
"-111.388","51.301","SUNNYNOOK AGCM","3026264","AB","17.6","16","NA","33.2","16","2.1","16","","","NA","34.6","17","NA","","6","","","NA","14.6","9.0"
"-113.206","51.768","THREE HILLS","3026479","AB","17.1","8","NA","34.0","8","2.8","8","","","NA","30.4","8","NA","","5","","","NA","35.3","15.4"
"-111.955","50.895","VERGER","3026800","AB","19.6","8","NA","35.6","8","4.6","8","","","NA","20.3","10","NA","","4","","","NA","10.6","47.2"
"-114.683","51.778","SUNDRE A","3026KNQ","AB","15.2","0","NA","29.8","0","0.2","0","","","NA","75.0","0","NA","","8","","","NA","91.0","5.3"
"-113.591","51.936","WIMBORNE AGCM","3027582","AB","17.1","8","NA","30.4","8","4.1","8","","","NA","57.3","8","NA","","8","","","NA","31.3","10.4"
"-113.434","49.528","ARDENVILLE","3030200","AB","19.0","8","NA","36.4","8","0.0","8","","","NA","6.3","12","NA","","3","","","NA","19.8","43.2"
"-114.013","50.512","AZURE","3030450","AB","18.7","11","NA","34.9","10","4.8","11","","","NA","25.2","16","NA","","4","","","NA","11.5","25.4"
"-112.300","49.800","BARNWELL AGDM","3030525","AB","20.1","8","NA","36.8","8","5.8","8","","","NA","18.0","8","NA","","5","","","NA","6.7","54.4"
"-113.224","50.026","BARONS AGCM","3030529","AB","18.9","10","NA","35.9","10","4.7","10","","","NA","26.0","10","NA","","5","","","NA","14.4","33.4"
"-112.465","50.893","BASSANO AGCM","3030540","AB","19.6","10","NA","35.8","10","6.6","10","","","NA","12.2","11","NA","","4","","","NA","9.8","43.4"
"-114.152","50.707","BLACK DIAMOND","3030680","AB","17.1","8","NA","34.5","8","3.1","8","","","NA","23.7","8","NA","","5","","","NA","33.4","11.8"
"-113.640","50.546","BLACKIE AGCM","3030690","AB","18.8","10","NA","34.7","10","2.7","10","","","NA","17.4","10","NA","","2","","","NA","14.8","31.1"
"-113.050","49.567","BLOOD TRIBE AGDM","3030720","AB","18.9","8","NA","37.2","8","3.8","8","","","NA","4.5","9","NA","","2","","","NA","17.4","38.3"
"-111.450","49.734","BOW ISLAND","3030768","AB","19.8","1","NA","36.9","1","7.4","1","","","NA","14.8","1","NA","","2","","","NA","13.2","67.1"
"-113.817","49.617","BROCKET AGDM","3030830","AB","18.9","8","NA","35.6","8","5.6","8","","","NA","49.0","8","NA","","3","","","NA","14.8","35.5"
"-110.484","50.339","BULL SPRINGS AGCM","3030879","AB","20.7","8","NA","38.3","8","8.2","8","","","NA","34.3","9","NA","","3","","","NA","2.6","63.9"
"-111.849","50.555","BROOKS","3030QLP","AB","20.2","1","NA","36.5","1","6.2","1","","","NA","17.4","1","NA","","3","","","NA","11.0","76.8"
"-114.013","51.123","CALGARY INTL A","3031092","AB","18.2","0","NA","35.1","0","6.7","0","0.0","0","NA","42.9","0","NA","","10","","","NA","33.4","41.1"
"-114.000","51.109","CALGARY INT'L CS","3031094","AB","17.8","0","NA","35.1","0","6.0","0","","","NA","41.5","2","NA","","8","","","NA","40.0","33.9"
"-114.371","51.105","CALGARY SPRINGBANK A","3031109","AB","15.9","1","NA","32.3","1","2.2","1","","","NA","78.8","1","NA","","11","","","NA","74.5","10.3"
"-113.286","49.201","CARDSTON","3031322","AB","18.4","3","NA","33.6","3","5.2","3","","","NA","37.1","3","NA","","5","","","NA","25.6","36.5"
"-113.376","49.001","CARWAY","3031402","AB","17.0","12","NA","34.3","12","4.1","12","","","NA","23.2","12","NA","","2","","","NA","34.9","15.2"
