"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","14.9","3","NA","27.4","3","0.7","3","","","NA","90.4","9","NA","","4","","","NA","89.1","5.3"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","16.8","7","NA","31.1","6","3.0","7","","","NA","52.7","6","NA","","7","","","NA","50.2","23.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","16.0","3","NA","31.3","3","5.0","3","","","NA","91.1","3","NA","","8","","","NA","69.4","14.3"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","17.1","3","NA","30.9","3","6.3","3","","","NA","92.3","3","NA","","8","","","NA","53.9","28.7"
"-110.101","52.124","BODO AGDM","3010730","AB","16.8","3","NA","29.7","3","0.0","3","","","NA","67.4","4","NA","","5","","","NA","54.6","22.2"
"-114.483","53.167","BRETON","3010815","AB","","","NA","","","","","0.0","11","NA","197.0","11","NA","0.0","12","","","NA","",""
"-114.441","53.089","BRETON PLOTS","3010816","AB","15.2","3","NA","30.1","3","1.9","3","","","NA","143.8","3","NA","","8","","","NA","88.8","11.9"
"-113.922","53.931","BUSBY AGCM","3010979","AB","16.0","3","NA","30.9","3","1.8","3","","","NA","130.0","4","NA","","7","","","NA","70.6","16.8"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","17.3","6","NA","36.0","6","0.0","6","","","NA","62.6","7","NA","","5","","","NA","38.3","22.3"
"-112.817","53.050","CAMROSE","3011240","AB","16.6","0","2.1","31.7","0","4.7","0","","","NA","113.1","0","152.0","","6","","","NA","68.6","25.3"
"-110.713","51.937","CONSORT AGDM","3011815","AB","17.0","3","NA","30.5","3","4.5","3","","","NA","36.2","3","NA","","4","","","NA","51.1","25.4"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","16.6","0","NA","32.5","0","3.6","0","","","NA","54.0","0","NA","0.0","9","","","NA","67.3","24.3"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","15.0","3","NA","31.1","3","2.1","3","","","NA","122.2","3","NA","","9","","","NA","86.2","5.3"
"-113.950","52.750","DAKOTA WEST","3011953","AB","14.7","14","1.0","27.0","14","3.5","14","0.0","14","NA","92.6","14","NA","0.0","8","","","NA","58.7","5.8"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","16.1","3","NA","31.8","3","5.1","3","","","NA","90.3","3","NA","","9","","","NA","74.9","23.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","17.3","3","NA","30.2","3","7.1","3","","","NA","81.4","3","NA","","8","","","NA","37.8","19.6"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","17.2","3","NA","30.8","3","4.3","3","","","NA","42.6","3","NA","","7","","","NA","41.5","21.2"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","16.1","2","NA","32.1","2","1.1","2","","","NA","130.7","2","NA","","9","","","NA","71.4","18.8"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","18.3","0","NA","31.9","0","5.5","0","","","NA","150.3","0","NA","","8","","","NA","52.1","60.8"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","16.3","0","NA","32.1","0","1.7","0","0.0","0","NA","139.0","0","NA","","11","","","NA","75.5","24.7"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","17.3","3","NA","30.3","3","4.3","3","","","NA","137.3","3","NA","","9","","","NA","58.7","39.3"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","16.7","0","NA","31.8","0","2.1","0","","","NA","131.5","0","NA","","7","","","NA","68.0","29.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","17.4","0","2.7","30.5","0","4.5","0","0.0","0","NA","124.2","0","154.0","0.0","9","","","NA","62.3","42.8"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","16.8","0","2.2","28.1","0","4.9","0","","","NA","128.8","0","151.0","","7","","","NA","65.1","28.8"
"-111.000","52.967","FABYAN","3012515","AB","17.1","0","2.5","29.5","0","4.0","0","0.0","0","NA","87.4","0","128.0","0.0","13","","","NA","54.5","26.3"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","15.5","3","NA","29.9","3","3.5","3","","","NA","94.6","3","NA","","7","","","NA","78.8","12.6"
"-111.813","52.041","FLEET AGCM","3012635","AB","16.6","6","NA","30.7","6","5.4","6","","","NA","82.6","8","NA","","6","","","NA","52.2","18.3"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","18.4","2","2.6","33.5","1","7.0","2","0.0","0","NA","104.5","0","138.0","0.0","8","","","NA","39.8","52.2"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","16.5","3","NA","31.5","3","5.8","3","","","NA","120.0","3","NA","","10","","","NA","61.4","21.9"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","17.1","3","NA","30.5","3","6.2","3","","","NA","56.4","3","NA","","7","","","NA","46.3","23.3"
"-114.320","53.295","ST. FRANCIS","3012799","AB","16.4","3","NA","29.8","3","4.7","3","","","NA","109.7","3","NA","","5","","","NA","66.2","23.9"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","16.1","3","NA","30.0","3","4.1","3","","","NA","87.3","3","NA","","7","","","NA","66.2","15.8"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","16.3","4","NA","30.4","3","3.5","4","","","NA","","","NA","","","","","NA","62.0","18.7"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","16.7","6","NA","31.5","6","1.0","6","","","NA","61.4","6","NA","","5","","","NA","46.7","16.2"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","16.3","6","NA","30.3","6","5.1","6","","","NA","44.6","6","NA","","6","","","NA","60.6","19.3"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","16.9","6","NA","30.9","6","4.7","6","","","NA","56.1","6","NA","","5","","","NA","48.3","22.9"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","16.2","3","NA","29.7","3","5.4","3","","","NA","112.6","6","NA","","8","","","NA","63.3","15.3"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","17.1","3","NA","31.1","3","5.4","3","","","NA","60.6","3","NA","","8","","","NA","48.8","24.0"
"-111.872","52.848","KILLAM AGDM","3013640","AB","16.3","3","NA","31.6","3","3.5","3","","","NA","","","NA","","","","","NA","64.7","19.6"
"-111.113","52.290","KESSLER AGCM","3013644","AB","17.0","6","NA","31.1","6","5.8","6","","","NA","0.0","28","NA","","0","","","NA","43.9","20.3"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","16.1","3","NA","29.6","3","4.0","3","","","NA","67.3","3","NA","","9","","","NA","68.4","18.1"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","17.3","3","NA","29.4","3","6.9","3","","","NA","69.1","3","NA","","8","","","NA","41.3","22.5"
