"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","-10.3","3","NA","5.5","3","-25.3","3","","","NA","3.0","23","NA","","0","","","NA","793.7","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-12.4","30","NA","-8.7","30","-16.1","30","","","NA","0.0","30","NA","","0","","","NA","30.4","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-8.5","4","NA","9.4","4","-23.2","4","","","NA","2.3","4","NA","","0","","","NA","714.5","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-11.1","4","NA","4.0","4","-25.7","4","","","NA","4.6","8","NA","","1","","","NA","786.6","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-9.9","11","NA","3.7","11","-23.9","11","","","NA","3.4","11","NA","","1","","","NA","557.8","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-10.5","3","NA","4.5","3","-24.7","3","","","NA","2.1","3","NA","","1","","","NA","798.3","0.0"
"-114.441","53.089","BRETON PLOTS","3010816","AB","-6.2","3","NA","12.5","3","-20.0","3","","","NA","3.6","3","NA","","2","","","NA","678.7","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-7.7","3","NA","15.4","3","-21.1","3","","","NA","7.3","3","NA","","3","","","NA","719.5","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-9.6","3","NA","8.8","3","-24.0","3","","","NA","2.7","3","NA","","1","","","NA","773.7","0.0"
"-113.863","53.290","CALMAR","3011120","AB","","","","10.0","30","-7.5","30","0.0","30","NA","0.0","30","NA","","0","","","NA","",""
"-112.817","53.050","CAMROSE","3011240","AB","-9.1","0","-5.0","9.7","0","-22.7","0","","","NA","1.0","0","4.0","35.0","0","","","NA","840.7","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-10.8","3","NA","2.5","3","-24.1","3","","","NA","2.5","3","NA","","0","","","NA","807.4","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-11.6","0","NA","1.0","0","-23.7","0","","","NA","0.2","0","NA","24.0","0","","","NA","917.8","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-8.9","3","NA","6.8","3","-25.5","3","","","NA","4.3","13","NA","","1","","","NA","753.5","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","-7.6","3","NA","10.8","3","-21.8","3","","","NA","4.3","3","NA","","2","","","NA","715.8","0.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","-10.3","3","NA","5.5","3","-23.8","3","","","NA","2.7","3","NA","","1","","","NA","793.2","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-10.0","3","NA","6.8","3","-24.6","3","","","NA","1.3","3","NA","","0","","","NA","783.1","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-8.2","2","NA","9.4","2","-23.8","2","","","NA","1.0","2","NA","6.0","0","","","NA","759.3","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","-6.1","0","NA","11.2","0","-19.6","0","","","NA","2.2","0","NA","","0","","","NA","747.2","0.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","-8.6","0","NA","8.4","0","-23.5","0","2.9","0","NA","2.7","0","NA","8.0","1","","","NA","825.5","0.0"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","-5.4","3","NA","11.0","3","-18.9","3","","","NA","3.0","4","NA","","0","","","NA","655.8","0.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","-7.6","1","NA","10.6","1","-22.5","1","","","NA","3.3","1","NA","","2","","","NA","767.7","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","-7.1","17","-4.4","7.0","17","-23.5","17","4.6","17","NA","4.0","17","NA","3.0","2","","","NA","351.2","0.0"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","-8.5","0","-3.5","9.5","0","-23.5","0","","","NA","3.0","0","14.0","38.0","1","","","NA","823.0","0.0"
"-111.000","52.967","FABYAN","3012515","AB","-10.5","0","-5.1","5.5","0","-23.5","0","4.0","0","25.0","4.0","0","23.0","0.0","1","","","NA","884.0","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","-8.9","3","NA","6.2","3","-23.7","3","","","NA","2.1","3","NA","","0","","","NA","752.6","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","-10.6","3","NA","8.1","3","-23.6","3","","","NA","2.6","3","NA","","1","","","NA","800.3","0.0"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","-8.2","4","-6.3","7.5","2","-24.0","4","6.4","1","NA","6.4","1","NA","0.0","3","","","NA","708.0","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","-8.4","3","NA","9.1","3","-24.6","3","","","NA","2.7","3","NA","","0","","","NA","739.2","0.0"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","","","","","","-29.5","16","0.0","16","NA","0.0","16","NA","0.0","0","","","NA","",""
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","-9.3","3","NA","6.8","3","-22.6","3","","","NA","1.7","3","NA","","0","","","NA","764.8","0.0"
"-114.320","53.295","ST. FRANCIS","3012799","AB","-5.3","3","NA","10.8","3","-19.5","3","","","NA","3.8","3","NA","","1","","","NA","651.1","0.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","-10.2","6","NA","6.3","6","-25.3","6","","","NA","0.9","17","NA","","0","","","NA","704.8","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","-5.5","3","NA","12.2","3","-20.0","3","","","NA","","","NA","","","","","NA","657.4","0.0"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","-10.7","3","NA","6.8","3","-24.3","3","","","NA","2.1","4","NA","","0","","","NA","803.2","0.0"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","-10.1","3","NA","4.6","3","-22.9","3","","","NA","2.9","7","NA","","0","","","NA","786.6","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","-10.6","3","NA","7.9","3","-24.3","3","","","NA","1.7","3","NA","","0","","","NA","801.5","0.0"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","-10.0","3","NA","7.6","3","-27.0","3","","","NA","2.2","7","NA","","0","","","NA","784.0","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","-9.5","3","NA","3.9","3","-23.5","3","","","NA","1.2","3","NA","","0","","","NA","770.5","0.0"
"-111.872","52.848","KILLAM AGDM","3013640","AB","-9.8","3","NA","4.9","3","-24.3","3","","","NA","","","NA","","","","","NA","777.8","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","-9.4","7","NA","8.3","7","-24.9","7","","","NA","","","NA","","","","","NA","656.7","0.0"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","-10.1","3","NA","7.7","3","-23.6","3","","","NA","1.3","3","NA","","0","","","NA","785.6","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","-10.1","3","NA","4.8","3","-22.6","3","","","NA","1.2","3","NA","","0","","","NA","786.4","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","-8.2","3","NA","9.2","3","-22.5","3","","","NA","6.5","3","NA","","2","","","NA","734.6","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","-10.6","3","NA","4.1","3","-25.6","3","","","NA","5.0","3","NA","","1","","","NA","802.0","0.0"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","-10.6","0","NA","2.7","0","-23.4","0","","","NA","0.0","0","NA","","0","","","NA","887.5","0.0"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","-10.1","0","-4.4","3.0","0","-23.0","0","13.2","0","99.0","8.4","0","58.0","11.0","3","","","NA","869.6","0.0"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","-9.4","3","NA","4.7","3","-22.9","3","","","NA","2.9","4","NA","","1","","","NA","767.6","0.0"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","5.6","2","NA","5.6","2","NA","0.0","2","","","NA","",""
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","-8.2","3","NA","12.2","3","-22.2","3","","","NA","2.5","4","NA","","0","","","NA","733.8","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","-8.0","3","NA","9.5","3","-23.6","3","","","NA","","","NA","","","","","NA","728.7","0.0"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","-9.3","0","NA","4.7","0","-22.6","0","","","NA","1.4","0","NA","21.0","0","","","NA","847.4","0.0"
