"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","14.0","0","NA","30.4","0","-3.9","0","","","NA","38.4","15","NA","","4","","","NA","126.0","3.4"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","14.6","0","NA","30.0","0","-3.0","0","","","NA","5.2","0","NA","","3","","","NA","113.6","6.7"
"-112.279","53.917","ANDREW AGDM","3010237","AB","15.2","1","NA","30.9","1","-2.1","1","","","NA","29.5","5","NA","","7","","","NA","89.1","4.7"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","15.6","1","NA","30.6","1","1.0","1","","","NA","18.1","2","NA","","1","","","NA","82.3","11.0"
"-110.101","52.124","BODO AGDM","3010730","AB","15.2","1","NA","30.8","1","2.6","1","","","NA","32.9","1","NA","","3","","","NA","92.5","8.4"
"-114.441","53.089","BRETON PLOTS","3010816","AB","14.6","0","NA","29.7","0","1.1","0","","","NA","41.3","0","NA","","8","","","NA","114.1","7.3"
"-113.922","53.931","BUSBY AGCM","3010979","AB","15.1","1","NA","30.6","1","0.5","1","","","NA","35.7","1","NA","","5","","","NA","92.0","5.6"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","15.5","0","NA","30.9","0","2.2","0","","","NA","19.0","0","NA","","3","","","NA","86.4","7.9"
"-112.817","53.050","CAMROSE","3011240","AB","14.7","0","4.2","30.0","0","-2.2","0","","","NA","20.8","0","50.0","","6","","","NA","107.3","3.8"
"-110.713","51.937","CONSORT AGDM","3011815","AB","15.0","0","NA","30.2","0","0.0","0","","","NA","13.7","1","NA","","3","","","NA","101.6","7.7"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","14.2","0","NA","29.7","0","-1.9","0","","","NA","12.8","0","NA","0.0","4","","","NA","122.6","3.9"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","13.7","0","NA","29.7","0","-1.7","0","","","NA","33.7","0","NA","","4","","","NA","133.4","1.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","15.1","1","NA","29.1","1","1.2","1","","","NA","30.8","1","NA","","4","","","NA","93.3","5.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","15.4","0","NA","30.3","0","0.0","0","","","NA","8.5","2","NA","","3","","","NA","89.7","9.8"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","15.4","0","NA","30.6","0","0.0","0","","","NA","30.0","1","NA","","5","","","NA","90.1","9.3"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","15.5","4","NA","31.1","4","-0.1","4","","","NA","14.4","4","NA","","3","","","NA","75.0","8.3"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","17.2","0","NA","30.8","0","4.5","0","","","NA","36.0","0","NA","","5","","","NA","54.0","28.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","15.2","0","NA","31.2","0","0.4","0","0.0","0","NA","20.7","0","NA","","5","","","NA","96.3","9.5"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","16.6","3","NA","30.0","3","4.1","3","","","NA","28.2","3","NA","","5","","","NA","55.4","17.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","15.3","0","NA","30.7","0","1.0","0","","","NA","22.9","0","NA","","4","","","NA","87.7","5.4"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","16.3","0","5.4","31.0","0","2.5","0","0.0","0","0.0","70.3","0","133.0","0.0","9","","","NA","68.0","13.9"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","15.5","0","4.9","28.2","0","2.9","0","","","NA","40.0","0","81.0","","7","","","NA","86.4","8.3"
"-111.000","52.967","FABYAN","3012515","AB","15.3","0","5.1","29.5","0","2.5","0","0.0","0","0.0","26.8","0","60.0","0.0","7","","","NA","89.0","5.2"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","14.8","0","NA","30.2","0","-0.8","0","","","NA","28.7","1","NA","","3","","","NA","104.8","5.6"
"-111.813","52.041","FLEET AGCM","3012635","AB","13.9","1","NA","29.1","1","-2.5","1","","","NA","6.4","2","NA","","2","","","NA","124.3","2.3"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","16.1","9","4.4","32.0","4","1.0","9","0.0","2","NA","13.7","2","NA","0.0","4","","","NA","54.2","12.4"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","15.1","0","NA","31.0","0","-3.0","0","","","NA","10.5","0","NA","","3","","","NA","97.5","7.5"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","","","","","","5.0","16","0.0","16","NA","19.2","16","NA","","4","","","NA","",""
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","15.8","0","NA","30.0","0","2.9","0","","","NA","21.9","1","NA","","5","","","NA","79.5","12.6"
"-114.320","53.295","ST. FRANCIS","3012799","AB","15.8","1","NA","29.6","1","2.9","1","","","NA","30.0","2","NA","","6","","","NA","75.6","11.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","14.7","0","NA","30.4","0","-3.1","0","","","NA","14.4","2","NA","","4","","","NA","107.4","3.7"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","15.2","0","NA","30.3","0","2.6","0","","","NA","","","NA","","","","","NA","96.4","9.6"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","14.6","0","NA","30.5","0","-0.2","0","","","NA","11.1","2","NA","","2","","","NA","112.7","8.2"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","14.2","2","NA","28.8","2","-1.7","2","","","NA","10.8","3","NA","","4","","","NA","114.3","3.5"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","14.3","0","NA","29.2","0","-11.6","0","","","NA","4.9","3","NA","","2","","","NA","118.9","5.7"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","14.4","0","NA","30.2","0","-4.0","0","","","NA","26.3","2","NA","","6","","","NA","112.2","1.5"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","15.7","1","NA","30.1","1","1.5","1","","","NA","18.5","2","NA","","4","","","NA","80.0","9.8"
"-111.872","52.848","KILLAM AGDM","3013640","AB","14.9","0","NA","30.9","0","-3.2","0","","","NA","","","NA","","","","","NA","103.4","6.5"
"-111.113","52.290","KESSLER AGCM","3013644","AB","15.2","1","NA","30.2","1","-0.4","1","","","NA","","","NA","","","","","NA","91.1","5.7"
