"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","-3.1","2","NA","11.8","2","-17.5","2","","","NA","1.9","2","NA","","1","","","NA","591.6","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","-2.1","1","NA","13.5","1","-16.6","1","","","NA","0.8","1","NA","","0","","","NA","583.7","0.0"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","-0.2","2","NA","15.3","2","-13.3","2","","","NA","1.5","2","NA","","0","","","NA","510.3","0.0"
"-112.279","53.917","ANDREW AGDM","3010237","AB","-2.5","2","NA","12.3","2","-16.3","2","","","NA","1.0","2","NA","","0","","","NA","572.6","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","-0.6","3","NA","13.8","3","-19.4","3","","","NA","2.5","3","NA","","0","","","NA","502.0","0.0"
"-110.101","52.124","BODO AGDM","3010730","AB","-1.2","3","NA","13.3","3","-13.9","3","","","NA","3.3","3","NA","","1","","","NA","518.1","0.0"
"-114.483","53.167","BRETON","3010815","AB","","","NA","","","","","5.8","0","NA","5.8","0","NA","0.0","1","","","NA","",""
"-114.441","53.089","BRETON PLOTS","3010816","AB","0.8","1","NA","16.6","1","-14.1","1","","","NA","3.2","1","NA","","1","","","NA","499.9","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","-1.0","3","NA","13.8","3","-14.5","3","","","NA","2.4","3","NA","","0","","","NA","512.9","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","-0.7","3","NA","13.8","3","-13.3","3","","","NA","2.6","3","NA","","0","","","NA","505.7","0.0"
"-112.817","53.050","CAMROSE","3011240","AB","-0.8","0","4.3","14.4","0","-13.2","0","","","NA","0.0","0","0.0","","0","","","NA","565.1","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","-0.8","3","NA","13.5","3","-13.1","3","","","NA","2.8","3","NA","","1","","","NA","508.8","0.0"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","-1.0","0","NA","15.4","0","-15.6","0","","","NA","1.0","0","NA","","0","","","NA","571.2","0.0"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","-0.5","3","NA","15.9","3","-16.5","3","","","NA","3.1","3","NA","","1","","","NA","499.3","0.0"
"-113.950","52.750","DAKOTA WEST","3011953","AB","0.4","0","5.0","17.0","0","-13.5","0","2.2","0","12.0","2.2","0","11.0","0.0","2","","","NA","528.2","0.0"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","0.6","3","NA","15.1","3","-14.0","3","","","NA","3.4","3","NA","","1","","","NA","469.8","0.0"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","-2.1","3","NA","12.4","3","-13.4","3","","","NA","1.3","3","NA","","0","","","NA","543.2","0.0"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","-1.5","3","NA","13.0","3","-14.7","3","","","NA","1.9","3","NA","","0","","","NA","527.1","0.0"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","-0.9","0","NA","15.2","0","-15.2","0","","","NA","0.4","0","NA","","0","","","NA","568.4","0.0"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","0.8","0","NA","14.0","0","-10.5","0","","","NA","0.0","0","NA","","0","","","NA","516.5","0.0"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","-1.0","0","NA","15.0","0","-15.1","0","0.0","0","NA","0.0","0","NA","","0","","","NA","570.4","0.0"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","0.9","3","NA","14.8","3","-10.2","3","","","NA","0.8","3","NA","","0","","","NA","462.0","0.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","-0.7","0","NA","15.2","0","-14.3","0","","","NA","0.2","0","NA","","0","","","NA","561.3","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","0.9","4","4.7","14.0","4","-10.0","4","0.8","4","NA","1.2","4","NA","0.0","0","","","NA","445.6","0.0"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","-0.4","0","4.7","14.9","0","-12.6","0","","","NA","2.6","0","17.0","","1","","","NA","553.0","0.0"
"-111.000","52.967","FABYAN","3012515","AB","-2.0","0","4.4","12.5","0","-16.0","0","1.0","0","6.0","1.0","0","6.0","0.0","1","","","NA","601.1","0.0"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","-0.7","3","NA","14.7","3","-15.0","3","","","NA","0.4","3","NA","","0","","","NA","503.6","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","-0.8","3","NA","16.8","3","-15.8","3","","","NA","3.0","3","NA","","1","","","NA","507.1","0.0"
"-112.120","52.467","FORESTBURG PLANT SITE","3012652","AB","0.6","26","3.7","6.0","26","-6.0","26","0.0","26","NA","0.0","26","NA","","0","","","NA","69.5","0.0"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","-0.4","3","NA","15.6","3","-14.5","3","","","NA","0.4","3","NA","","0","","","NA","497.2","0.0"
"-113.183","53.717","FORT SASKATCHEWAN","3012710","AB","","","","","","","","0.0","28","NA","0.4","28","NA","","0","","","NA","",""
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","-1.1","3","NA","13.2","3","-12.2","3","","","NA","1.2","3","NA","","0","","","NA","515.7","0.0"
"-114.320","53.295","ST. FRANCIS","3012799","AB","1.1","3","NA","13.6","3","-9.5","3","","","NA","0.9","3","NA","","0","","","NA","455.4","0.0"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","-1.5","3","NA","14.4","3","-15.1","3","","","NA","1.3","3","NA","","0","","","NA","525.8","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","0.8","1","NA","14.3","1","-12.0","1","","","NA","","","NA","","","","","NA","499.1","0.0"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","-1.8","3","NA","13.7","3","-17.1","3","","","NA","2.8","3","NA","","1","","","NA","534.6","0.0"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","-0.7","3","NA","14.2","3","-15.1","3","","","NA","3.7","6","NA","","2","","","NA","504.3","0.0"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","-0.7","3","NA","14.8","3","-15.3","3","","","NA","2.0","3","NA","","1","","","NA","504.2","0.0"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","-1.5","3","NA","13.5","3","-13.3","3","","","NA","2.0","4","NA","","1","","","NA","527.7","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","-0.9","3","NA","13.7","3","-14.5","3","","","NA","2.2","3","NA","","1","","","NA","511.1","0.0"
"-111.872","52.848","KILLAM AGDM","3013640","AB","-1.8","3","NA","14.5","3","-16.8","3","","","NA","","","NA","","","","","NA","535.9","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","-0.7","3","NA","14.9","3","-14.1","3","","","NA","3.3","11","NA","","2","","","NA","504.3","0.0"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","-1.7","5","NA","13.4","5","-16.3","5","","","NA","3.9","3","NA","","1","","","NA","492.3","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","-1.7","3","NA","12.3","3","-12.8","3","","","NA","1.2","3","NA","","0","","","NA","532.6","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","-1.0","3","NA","13.3","3","-13.0","3","","","NA","1.6","3","NA","","0","","","NA","512.1","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","-3.3","3","NA","9.6","3","-14.4","3","","","NA","2.0","3","NA","","1","","","NA","574.6","0.0"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","-2.0","0","NA","11.6","0","-14.1","0","","","NA","0.2","0","NA","","0","","","NA","599.7","0.0"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","-2.0","2","4.9","11.5","2","-14.0","2","0.4","2","NA","0.8","2","NA","0.0","0","","","NA","559.5","0.0"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","-1.5","3","NA","12.3","3","-11.8","3","","","NA","0.9","3","NA","","0","","","NA","525.6","0.0"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","2.2","0","14.0","5.4","0","30.0","0.0","3","","","NA","",""
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","-0.5","3","NA","14.6","3","-12.9","3","","","NA","0.9","3","NA","","0","","","NA","499.3","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","-1.0","3","NA","15.2","3","-17.3","3","","","NA","0.8","3","NA","","0","","","NA","514.0","0.0"
"-112.879","53.995","RADWAY AGCM","3015346","AB","-1.8","3","NA","12.8","3","-15.8","3","","","NA","","","NA","","","","","NA","534.4","0.0"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","-1.1","0","NA","12.2","0","-12.9","0","","","NA","1.4","0","NA","0.0","0","","","NA","574.4","0.0"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","-1.4","3","NA","13.5","3","-14.0","3","","","NA","2.0","3","NA","","1","","","NA","524.6","0.0"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","-2.1","3","NA","11.7","3","-13.7","3","","","NA","1.3","3","NA","","0","","","NA","543.6","0.0"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","-1.0","0","NA","17.2","0","-20.1","0","","","NA","5.4","0","NA","3.0","1","","","NA","570.6","0.0"
"-112.422","52.792","ROSALIND AGCM","3015600","AB","-0.6","3","NA","14.7","3","-14.0","3","","","NA","0.4","3","NA","","0","","","NA","501.1","0.0"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","-1.9","3","NA","13.1","3","-11.9","3","","","NA","2.0","9","NA","","0","","","NA","536.2","0.0"
"-111.272","54.011","ST. PAUL AGCM","3015676","AB","-2.7","3","NA","11.2","3","-15.3","3","","","NA","1.7","3","NA","","0","","","NA","559.0","0.0"
"-110.755","51.590","SEDALIA AGCM","3015797","AB","-0.6","3","NA","15.2","3","-14.0","3","","","NA","4.2","3","NA","","2","","","NA","502.5","0.0"
"-112.539","53.333","SHONTS AGCM","3015900","AB","-1.7","3","NA","14.1","3","-15.4","3","","","NA","1.5","3","NA","","1","","","NA","532.5","0.0"
"-112.499","54.278","SMOKY LAKE AGDM","3016022","AB","-1.6","3","NA","11.8","3","-11.9","3","","","NA","2.0","3","NA","","1","","","NA","529.1","0.0"
"-111.683","51.816","SPONDIN AGCM","3016070","AB","-0.9","3","NA","15.8","3","-15.8","3","","","NA","3.2","3","NA","","1","","","NA","509.7","0.0"
"-112.596","52.347","STETTLER AGDM","3016124","AB","0.3","3","NA","15.4","3","-12.9","3","","","NA","2.0","3","NA","","1","","","NA","478.9","0.0"
"-113.895","53.217","THORSBY AGCM","3016441","AB","0.0","3","NA","14.9","3","-13.9","3","","","NA","0.4","3","NA","","0","","","NA","485.9","0.0"
"-114.718","53.439","TOMAHAWK AGDM","3016505","AB","0.2","3","NA","13.6","3","-13.7","3","","","NA","1.2","5","NA","","0","","","NA","481.8","0.0"
"-110.081","53.664","TULLIBY LAKE AGCM","3016593","AB","-2.8","3","NA","10.4","3","-16.4","3","","","NA","1.7","3","NA","","0","","","NA","561.6","0.0"
"-113.033","53.500","UNCAS","3016650","AB","","","NA","","","","","0.6","0","NA","0.8","0","NA","0.0","0","","","NA","",""
"-111.678","53.625","TWO HILLS AGDM","3016655","AB","-1.1","3","NA","12.9","3","-11.2","3","","","NA","0.9","3","NA","","0","","","NA","516.8","0.0"
"-110.882","53.344","VERMILION AGDM","3016802","AB","-2.0","3","NA","12.5","3","-14.6","3","","","NA","0.9","3","NA","","0","","","NA","539.2","0.0"
"-111.732","53.182","VIKING AGCM","3016841","AB","-1.0","3","NA","13.5","3","-12.5","3","","","NA","1.1","3","NA","","1","","","NA","512.5","0.0"
"-112.098","53.505","VEGREVILLE","3016GF0","AB","-1.8","0","4.4","13.3","0","-16.4","0","","","NA","1.1","0","9.0","","0","","","NA","595.1","0.0"
"-113.444","52.980","WETASKIWIN AGCM","3017282","AB","-0.3","3","NA","14.9","3","-14.9","3","","","NA","0.8","10","NA","","0","","","NA","494.7","0.0"
"-111.224","51.491","YOUNGSTOWN AGCM","3017705","AB","-0.3","3","NA","15.0","3","-15.0","3","","","NA","3.6","3","NA","","1","","","NA","492.8","0.0"
"-114.108","53.547","EDMONTON STONY PLAIN CS","301A001","AB","0.7","0","NA","14.0","0","-10.5","0","","","NA","0.7","0","NA","","0","","","NA","518.4","0.0"
"-110.206","51.670","ESTHER 1","301B460","AB","-0.4","1","NA","15.4","1","-14.7","1","","","NA","2.5","1","NA","0.0","2","","","NA","534.6","0.0"
"-111.096","52.829","WAINWRIGHT CFB AIRFIELD 21","301S001","AB","-0.7","0","NA","14.0","0","-12.7","0","","","NA","0.4","0","NA","3.0","0","","","NA","559.5","0.0"
"-113.821","54.308","PIBROCH AGCM","301X001","AB","-2.6","3","NA","12.8","3","-19.4","3","","","NA","2.3","3","NA","","1","","","NA","555.9","0.0"
"-113.099","53.843","REDWATER INDUSTRIAL AGCM","301X002","AB","0.2","3","NA","14.4","3","-11.5","3","","","NA","2.0","3","NA","","1","","","NA","481.1","0.0"
"-110.025","53.358","LLOYDMINSTER LITE","301X003","AB","-2.1","3","NA","12.0","3","-14.9","3","","","NA","1.4","4","NA","0.0","0","","","NA","541.9","0.0"
"-110.317","51.066","ACADIA VALLEY","3020035","AB","0.2","2","NA","15.0","2","-12.1","2","","","NA","3.9","2","NA","","2","","","NA","499.3","0.0"
"-111.006","50.810","ATLEE AGCM","3020405","AB","0.5","3","NA","13.8","3","-11.7","3","","","NA","2.7","3","NA","","1","","","NA","472.6","0.0"
"-113.357","51.379","BEISEKER AGCM","3020610","AB","-0.1","3","NA","16.4","3","-13.4","3","","","NA","2.7","3","NA","","2","","","NA","487.7","0.0"
"-112.803","51.998","BIG VALLEY AGCM","3020679","AB","0.4","2","NA","14.5","2","-12.9","2","","","NA","1.9","24","NA","","0","","","NA","491.8","0.0"
"-110.686","50.798","BUFFALO AGCM","3020950","AB","0.8","3","NA","15.1","3","-13.9","3","","","NA","4.0","3","NA","","2","","","NA","465.3","0.0"
"-111.221","51.024","CABIN LAKE AGCM","3021000","AB","-0.4","3","NA","15.4","3","-16.6","3","","","NA","","","NA","","","","","NA","497.2","0.0"
"-110.797","51.067","CAPPON","3021200","AB","-0.9","3","NA","14.0","3","-16.0","3","","","NA","4.6","3","NA","","2","","","NA","511.1","0.0"
"-110.824","51.276","CEREAL AGCM","3021463","AB","-0.3","3","NA","19.5","3","-13.6","3","","","NA","5.0","5","NA","","2","","","NA","495.0","0.0"
"-112.252","51.775","CRAIGMYLE AGCM","3021912","AB","-0.7","3","NA","15.1","3","-17.0","3","","","NA","6.5","3","NA","","2","","","NA","504.9","0.0"
"-112.677","51.445","DRUMHELLER EAST","30221LG","AB","0.5","1","NA","17.1","1","-15.2","1","","","NA","4.3","1","NA","0.0","2","","","NA","508.5","0.0"
"-112.097","51.053","FINNEGAN AGCM","3022650","AB","0.1","2","NA","16.0","2","-14.6","2","","","NA","2.1","23","NA","","1","","","NA","500.4","0.0"
"-112.135","51.453","HAND HILLS AGCM","3022990","AB","-0.4","3","NA","14.2","3","-14.3","3","","","NA","8.9","4","NA","","2","","","NA","497.6","0.0"
"-114.486","52.310","HESPERO AGCM","3023200","AB","-1.5","3","NA","14.3","3","-19.5","3","","","NA","4.6","3","NA","","1","","","NA","527.2","0.0"
"-112.500","51.183","HUSSAR AGDM","3023402","AB","0.7","3","NA","14.4","3","-12.0","3","","","NA","2.8","3","NA","","1","","","NA","467.7","0.0"
"-110.359","51.913","KIRRIEMUIR AGCM","3023660","AB","-0.9","4","NA","22.7","4","-13.4","4","","","NA","3.8","4","NA","","2","","","NA","491.5","0.0"
"-113.756","52.449","LACOMBE CDA 2","3023722","AB","-0.5","1","NA","13.7","1","-16.6","1","","","NA","3.5","1","NA","","1","","","NA","535.9","0.0"
"-114.473","52.553","LEEDALE AGDM","3023740","AB","-2.4","3","NA","15.1","3","-21.0","3","","","NA","5.0","16","NA","0.0","1","","","NA","550.6","0.0"
"-113.656","51.619","LINDEN AGCM","3023850","AB","-0.9","3","NA","17.7","3","-19.6","3","","","NA","3.4","3","NA","","1","","","NA","511.3","0.0"
"-110.341","49.458","LODGE CREEK","3023900","AB","-0.6","3","NA","12.3","3","-13.7","3","","","NA","8.8","3","NA","","2","","","NA","502.4","0.0"
"-112.675","51.660","MORRIN AGDM","3024668","AB","-0.5","3","NA","15.5","3","-16.2","3","","","NA","4.8","3","NA","","2","","","NA","499.7","0.0"
"-114.085","51.759","OLDS AGDM","3024925","AB","0.8","3","NA","17.9","3","-12.4","3","","","NA","4.6","3","NA","","1","","","NA","463.1","0.0"
"-110.350","51.383","OYEN AGDM","3024965","AB","-0.3","3","NA","13.5","3","-12.0","3","","","NA","3.7","3","NA","","1","","","NA","493.8","0.0"
"-111.621","50.740","PATRICIA AGCM","3025013","AB","0.9","3","NA","16.2","3","-11.5","3","","","NA","2.3","3","NA","","1","","","NA","462.8","0.0"
