"Long","Lat","Stn_Name","Clim_ID","Prov_or_Ter","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-112.967","54.283","ABEE AGDM","3010010","AB","10.2","2","NA","25.0","2","-4.5","2","","","NA","7.9","4","NA","","2","","","NA","219.2","0.0"
"-111.181","53.113","ALBERT HALL AGCM","3010060","AB","11.6","2","NA","26.5","2","-3.4","2","","","NA","13.2","16","NA","","1","","","NA","179.4","0.2"
"-111.779","52.315","ALLIANCE AGCM","3010162","AB","12.7","2","NA","27.9","2","0.3","2","","","NA","20.9","3","NA","","3","","","NA","148.0","0.8"
"-112.279","53.917","ANDREW AGDM","3010237","AB","11.2","2","NA","26.2","2","-3.7","2","","","NA","6.3","3","NA","","1","","","NA","191.4","0.0"
"-111.465","52.582","BELLSHILL AGCM","3010650","AB","13.3","2","NA","27.2","2","1.0","2","","","NA","13.6","10","NA","","2","","","NA","132.1","0.4"
"-110.101","52.124","BODO AGDM","3010730","AB","14.1","2","NA","30.0","2","-1.1","2","","","NA","22.0","2","NA","","6","","","NA","116.6","6.1"
"-114.483","53.167","BRETON","3010815","AB","","","NA","","","","","0.0","0","NA","56.0","0","NA","0.0","9","","","NA","",""
"-114.441","53.089","BRETON PLOTS","3010816","AB","11.4","2","NA","25.3","2","-2.7","2","","","NA","33.5","2","NA","","6","","","NA","185.5","0.0"
"-113.922","53.931","BUSBY AGCM","3010979","AB","11.0","2","NA","24.2","2","-2.4","2","","","NA","7.5","3","NA","","2","","","NA","194.9","0.0"
"-110.510","52.334","CADOGAN AGCM","3010992","AB","13.6","4","NA","29.0","4","0.4","4","","","NA","10.4","4","NA","","3","","","NA","117.9","2.5"
"-112.817","53.050","CAMROSE","3011240","AB","11.8","0","1.4","26.1","0","-2.2","0","","","NA","29.5","0","74.0","","3","","","NA","185.3","0.0"
"-110.713","51.937","CONSORT AGDM","3011815","AB","13.7","2","NA","28.8","2","1.3","2","","","NA","33.3","2","NA","","3","","","NA","122.2","1.9"
"-111.449","52.074","CORONATION CLIMATE","3011887","AB","12.7","2","NA","29.3","2","-1.5","2","","","NA","16.7","2","NA","","5","","","NA","149.6","0.9"
"-113.903","52.733","CRESTOMERE AGCM","3011892","AB","11.2","2","NA","26.3","2","-3.2","2","","","NA","29.1","5","NA","","5","","","NA","191.3","0.0"
"-113.950","52.750","DAKOTA WEST","3011953","AB","12.2","0","2.1","25.5","0","-1.5","0","0.0","0","0.0","36.0","0","75.0","0.0","6","","","NA","173.4","0.3"
"-113.176","52.183","DELBURNE AGCM","3012050","AB","12.4","2","NA","29.5","2","-0.5","2","","","NA","30.7","2","NA","","5","","","NA","158.1","1.5"
"-110.588","53.659","DEWBERRY AGCM","3012073","AB","12.1","2","NA","24.9","2","-2.8","2","","","NA","12.5","3","NA","","3","","","NA","167.1","0.7"
"-110.433","52.778","EDGERTON AGCM","3012192","AB","13.1","2","NA","28.5","2","-2.6","2","","","NA","17.9","3","NA","","5","","","NA","138.1","1.3"
"-113.606","53.307","EDMONTON INTERNATIONAL CS","3012206","AB","11.5","0","NA","26.0","0","-3.7","0","","","NA","16.1","0","NA","","6","","","NA","197.0","0.5"
"-113.517","53.573","EDMONTON BLATCHFORD","3012209","AB","14.1","0","NA","26.3","0","0.7","0","","","NA","14.4","0","NA","","3","","","NA","121.5","4.5"
"-113.579","53.310","EDMONTON INTL A","3012216","AB","11.5","0","NA","26.2","0","-3.9","0","0.0","0","NA","18.1","0","NA","","7","","","NA","195.6","0.6"
"-113.538","53.490","EDMONTON SOUTH CAMPUS","3012220","AB","12.8","10","NA","25.6","10","-0.3","10","","","NA","7.1","11","NA","","2","","","NA","105.0","0.0"
"-113.856","53.668","EDMONTON VILLENEUVE A","3012229","AB","11.5","1","NA","24.8","1","-2.5","1","","","NA","21.6","1","NA","","4","","","NA","188.3","0.0"
"-114.108","53.548","EDMONTON STONY PLAIN","301222F","AB","13.5","0","2.5","25.0","0","-0.5","0","0.0","0","0.0","33.8","0","76.0","0.0","5","","","NA","136.1","1.6"
"-112.868","53.683","ELK ISLAND NAT PARK","3012275","AB","12.1","1","2.1","24.0","1","-2.2","1","","","NA","11.8","1","NA","","3","","","NA","170.5","0.0"
"-111.000","52.967","FABYAN","3012515","AB","12.6","0","2.2","27.5","0","-1.0","0","0.0","0","0.0","18.4","0","49.0","0.0","5","","","NA","162.0","0.5"
"-112.858","52.744","FERINTOSH AGCM","3012590","AB","11.4","2","NA","26.3","2","-2.9","2","","","NA","24.4","3","NA","","4","","","NA","184.2","0.0"
"-111.813","52.041","FLEET AGCM","3012635","AB","12.4","4","NA","28.7","4","0.7","4","","","NA","21.3","4","NA","","6","","","NA","145.5","0.5"
"-112.123","52.548","FORESTBURG AGCM","3012653","AB","12.6","2","NA","27.3","2","-1.0","2","","","NA","14.1","2","NA","","3","","","NA","151.1","0.3"
"-110.621","53.071","GILT EDGE NORTH AGCM","3012790","AB","13.1","3","NA","27.1","3","-2.0","3","","","NA","20.1","3","NA","","5","","","NA","132.0","1.0"
"-114.320","53.295","ST. FRANCIS","3012799","AB","12.5","4","NA","24.9","4","0.0","4","","","NA","28.3","5","NA","","5","","","NA","143.6","0.6"
"-112.278","52.987","GLADSTONE AGCM","3012810","AB","11.6","2","NA","26.2","2","-1.1","2","","","NA","32.7","3","NA","","4","","","NA","180.3","0.0"
"-114.539","53.833","GLENEVIS AGCM","3012818","AB","11.9","2","NA","24.3","2","-0.2","2","","","NA","","","NA","","","","","NA","169.7","0.1"
"-110.803","52.113","GOOSEBERRY LAKE AGCM","3012871","AB","12.4","4","NA","29.1","4","-3.0","4","","","NA","13.2","5","NA","","3","","","NA","146.1","0.9"
"-112.164","52.116","HALKIRK AGCM","3012999","AB","12.0","4","NA","28.1","4","0.0","4","","","NA","42.5","10","NA","","5","","","NA","157.5","0.5"
"-111.212","51.780","HEMARUKA AGCM","3013140","AB","13.0","4","NA","29.8","4","-1.4","4","","","NA","13.7","7","NA","","3","","","NA","131.2","0.1"
"-112.246","53.185","HOLDEN AGDM","3013340","AB","11.4","4","NA","24.5","4","-0.5","4","","","NA","36.0","10","NA","","6","","","NA","172.3","0.0"
"-110.784","52.578","HUGHENDEN AGCM","3013362","AB","13.5","3","NA","28.7","3","-1.0","3","","","NA","20.2","5","NA","","4","","","NA","124.8","2.1"
"-111.872","52.848","KILLAM AGDM","3013640","AB","11.6","2","NA","26.8","2","-1.9","2","","","NA","","","NA","","","","","NA","180.3","0.0"
"-111.113","52.290","KESSLER AGCM","3013644","AB","12.6","4","NA","28.6","4","-2.5","4","","","NA","20.7","14","NA","","4","","","NA","141.0","1.3"
"-111.548","53.047","KINSELLA RESEARC STATION","3013647","AB","11.5","2","NA","25.6","2","-2.1","2","","","NA","15.4","3","NA","","5","","","NA","180.8","0.0"
"-110.416","53.353","KITSCOTY AGCM","3013660","AB","12.8","2","NA","25.9","2","-1.6","2","","","NA","23.7","3","NA","","5","","","NA","146.6","0.0"
"-113.474","54.003","LEGAL AGCM","3013790","AB","11.6","2","NA","24.9","2","-2.2","2","","","NA","6.8","3","NA","","1","","","NA","178.3","0.0"
"-110.579","53.943","LINDBERGH AGDM","3013921","AB","10.7","2","NA","23.4","2","-3.2","2","","","NA","11.0","3","NA","","4","","","NA","205.6","0.0"
"-110.073","53.309","LLOYDMINSTER","3013959","AB","12.8","0","NA","26.5","0","-1.1","0","","","NA","12.7","0","NA","","4","","","NA","154.9","0.2"
"-110.073","53.309","LLOYDMINSTER A","3013961","AB","13.3","0","3.0","26.5","0","-1.0","0","0.0","0","0.0","13.4","0","32.0","0.0","3","","","NA","144.8","2.8"
"-111.255","53.456","MANNVILLE AGCM","3014195","AB","12.6","2","NA","25.6","2","-0.9","2","","","NA","14.8","3","NA","","4","","","NA","150.9","0.3"
"-110.550","52.017","MONITOR","3014600","AB","","","NA","","","","","0.0","0","0.0","19.4","0","57.0","0.0","6","","","NA","",""
"-113.165","53.262","NEW SAREPTA AGCM","3014795","AB","11.1","10","NA","24.1","10","-3.1","10","","","NA","20.5","11","NA","","3","","","NA","138.0","0.0"
"-113.350","53.650","OLIVER AGDM","3014921","AB","11.0","4","NA","24.4","4","-3.2","4","","","NA","9.1","17","NA","","3","","","NA","181.4","0.0"
"-112.879","53.995","RADWAY AGCM","3015346","AB","11.8","18","NA","25.8","18","-2.6","18","","","NA","","","NA","","","","","NA","74.3","0.0"
"-111.726","53.425","RANFURLY AUTO","3015401","AB","12.5","0","NA","25.8","0","-0.7","0","","","NA","19.0","0","NA","1.0","5","","","NA","165.1","0.0"
"-110.343","52.587","RIBSTONE SOUTH AGCM","3015480","AB","13.1","2","NA","29.3","2","-3.0","2","","","NA","19.9","3","NA","","5","","","NA","140.5","1.9"
"-110.102","53.019","RIVERCOURSE AGCM","3015501","AB","13.1","2","NA","27.3","2","-1.4","2","","","NA","15.2","4","NA","","4","","","NA","136.8","0.9"
"-114.912","52.421","ROCKY MTN HOUSE (AUT)","3015523","AB","10.4","0","NA","26.2","0","-3.4","0","","","NA","20.2","0","NA","","5","","","NA","229.3","0.0"
"-112.422","52.792","ROSALIND AGCM","3015600","AB","12.4","2","NA","27.4","2","-1.0","2","","","NA","16.2","7","NA","","4","","","NA","156.8","0.3"
"-111.453","54.282","ST. LINA AGCM","3015673","AB","11.6","2","NA","24.1","2","-2.1","2","","","NA","5.2","22","NA","","2","","","NA","179.3","0.0"
